,train_score,test_score,model,arg_list
137,0.6498893015608049,0.6504754000489921,elastic,"(-1, 0.1, 100, 0.0001, 0.25)"
138,0.6276490317971305,0.6263743395487672,elastic,"(-1, 0.1, 100, 0.0001, 0.5)"
139,0.6214521382590529,0.6199946350397546,elastic,"(-1, 0.1, 100, 0.0001, 1.0)"
140,0.6590587110837333,0.6624520978395325,elastic,"(-1, 0.1, 100, 0.001, 0.1)"
141,0.6498893015608049,0.6504754000489921,elastic,"(-1, 0.1, 100, 0.001, 0.25)"
142,0.6276490317971305,0.6263743395487672,elastic,"(-1, 0.1, 100, 0.001, 0.5)"
143,0.6214521382590529,0.6199946350397546,elastic,"(-1, 0.1, 100, 0.001, 1.0)"
144,0.6590587110837333,0.6624520978395325,elastic,"(-1, 0.1, 100, 0.01, 0.1)"
145,0.6498893015608049,0.6504754000489921,elastic,"(-1, 0.1, 100, 0.01, 0.25)"
146,0.6276490317971305,0.6263743395487672,elastic,"(-1, 0.1, 100, 0.01, 0.5)"
147,0.6214521382590529,0.6199946350397546,elastic,"(-1, 0.1, 100, 0.01, 1.0)"
148,0.6729085846867189,0.6771177325768565,elastic,"(-1, 0.1, 1000, 0.0001, 0.1)"
149,0.6636596606216203,0.664819398566895,elastic,"(-1, 0.1, 1000, 0.0001, 0.25)"
150,0.6406688357691075,0.6396527016175924,elastic,"(-1, 0.1, 1000, 0.0001, 0.5)"
151,0.6353322768849057,0.6341323191430401,elastic,"(-1, 0.1, 1000, 0.0001, 1.0)"
152,0.6729027426588128,0.6771089639765476,elastic,"(-1, 0.1, 1000, 0.001, 0.1)"
153,0.6636322983272278,0.664786641118414,elastic,"(-1, 0.1, 1000, 0.001, 0.25)"
154,0.6405277783101915,0.6395046911433595,elastic,"(-1, 0.1, 1000, 0.001, 0.5)"
155,0.6348079205239845,0.6335944851486662,elastic,"(-1, 0.1, 1000, 0.001, 1.0)"
156,0.6728707860208221,0.677063211955168,elastic,"(-1, 0.1, 1000, 0.01, 0.1)"
157,0.6634825635017214,0.6646124236444126,elastic,"(-1, 0.1, 1000, 0.01, 0.25)"
158,0.6398876363441894,0.6388356187070854,elastic,"(-1, 0.1, 1000, 0.01, 0.5)"
159,0.6323838423892112,0.6311131288603036,elastic,"(-1, 0.1, 1000, 0.01, 1.0)"
160,0.6729091072107184,0.6771185251494669,elastic,"(-1, 0.1, 10000, 0.0001, 0.1)"
161,0.6636596606216203,0.664819398566895,elastic,"(-1, 0.1, 10000, 0.0001, 0.25)"
162,0.6406688357691075,0.6396527016175924,elastic,"(-1, 0.1, 10000, 0.0001, 0.5)"
163,0.6353322768849057,0.6341323191430401,elastic,"(-1, 0.1, 10000, 0.0001, 1.0)"
164,0.6729027426588128,0.6771089639765476,elastic,"(-1, 0.1, 10000, 0.001, 0.1)"
165,0.6636322983272278,0.664786641118414,elastic,"(-1, 0.1, 10000, 0.001, 0.25)"
166,0.6405277783101915,0.6395046911433595,elastic,"(-1, 0.1, 10000, 0.001, 0.5)"
167,0.6348079205239845,0.6335944851486662,elastic,"(-1, 0.1, 10000, 0.001, 1.0)"
168,0.6728707860208221,0.677063211955168,elastic,"(-1, 0.1, 10000, 0.01, 0.1)"
169,0.6634825635017214,0.6646124236444126,elastic,"(-1, 0.1, 10000, 0.01, 0.25)"
170,0.6398876363441894,0.6388356187070854,elastic,"(-1, 0.1, 10000, 0.01, 0.5)"
171,0.6323838423892112,0.6311131288603036,elastic,"(-1, 0.1, 10000, 0.01, 1.0)"
172,0.6276872255022329,0.6264027356719559,elastic,"(-1, 0.5, 100, 0.0001, 0.1)"
173,0.6176780975716966,0.6161493027863989,elastic,"(-1, 0.5, 100, 0.0001, 0.25)"
174,0.593904192773682,0.5920821042111895,elastic,"(-1, 0.5, 100, 0.0001, 0.5)"
175,0.5845813931867742,0.5826624965447691,elastic,"(-1, 0.5, 100, 0.0001, 1.0)"
176,0.6276872255022329,0.6264027356719559,elastic,"(-1, 0.5, 100, 0.001, 0.1)"
177,0.6176780975716966,0.6161493027863989,elastic,"(-1, 0.5, 100, 0.001, 0.25)"
178,0.593904192773682,0.5920821042111895,elastic,"(-1, 0.5, 100, 0.001, 0.5)"
179,0.5845822314721327,0.5826629444007976,elastic,"(-1, 0.5, 100, 0.001, 1.0)"
180,0.6276872255022329,0.6264027356719559,elastic,"(-1, 0.5, 100, 0.01, 0.1)"
181,0.6176780975716966,0.6161493027863989,elastic,"(-1, 0.5, 100, 0.01, 0.25)"
182,0.5875956480341655,0.585708045413836,elastic,"(-1, 0.5, 100, 0.01, 0.5)"
183,0.5845822314721327,0.5826629444007976,elastic,"(-1, 0.5, 100, 0.01, 1.0)"
184,0.6400394739446806,0.6389940715768101,elastic,"(-1, 0.5, 1000, 0.0001, 0.1)"
185,0.6303226868858286,0.6290079622723425,elastic,"(-1, 0.5, 1000, 0.0001, 0.25)"
186,0.5977132916993284,0.5959326332963165,elastic,"(-1, 0.5, 1000, 0.0001, 0.5)"
187,0.5845813931867742,0.5826624965447691,elastic,"(-1, 0.5, 1000, 0.0001, 1.0)"
188,0.6398820312889764,0.6388298660966959,elastic,"(-1, 0.5, 1000, 0.001, 0.1)"
189,0.6295007833664048,0.6281696146457143,elastic,"(-1, 0.5, 1000, 0.001, 0.25)"
190,0.5966186430578893,0.5948259203557644,elastic,"(-1, 0.5, 1000, 0.001, 0.5)"
191,0.5845822314721327,0.5826629444007976,elastic,"(-1, 0.5, 1000, 0.001, 1.0)"
192,0.6391829831234328,0.6381029028872126,elastic,"(-1, 0.5, 1000, 0.01, 0.1)"
193,0.6257460373256645,0.6243453178115812,elastic,"(-1, 0.5, 1000, 0.01, 0.25)"
194,0.5875956480341655,0.585708045413836,elastic,"(-1, 0.5, 1000, 0.01, 0.5)"
195,0.5845822314721327,0.5826629444007976,elastic,"(-1, 0.5, 1000, 0.01, 1.0)"
196,0.6400394739446806,0.6389940715768101,elastic,"(-1, 0.5, 10000, 0.0001, 0.1)"
197,0.6303226868858286,0.6290079622723425,elastic,"(-1, 0.5, 10000, 0.0001, 0.25)"
198,0.5977132916993284,0.5959326332963165,elastic,"(-1, 0.5, 10000, 0.0001, 0.5)"
199,0.5845813931867742,0.5826624965447691,elastic,"(-1, 0.5, 10000, 0.0001, 1.0)"
200,0.6398820312889764,0.6388298660966959,elastic,"(-1, 0.5, 10000, 0.001, 0.1)"
201,0.6295007833664048,0.6281696146457143,elastic,"(-1, 0.5, 10000, 0.001, 0.25)"
202,0.5966186430578893,0.5948259203557644,elastic,"(-1, 0.5, 10000, 0.001, 0.5)"
203,0.5845822314721327,0.5826629444007976,elastic,"(-1, 0.5, 10000, 0.001, 1.0)"
204,0.6391829831234328,0.6381029028872126,elastic,"(-1, 0.5, 10000, 0.01, 0.1)"
205,0.6257460373256645,0.6243453178115812,elastic,"(-1, 0.5, 10000, 0.01, 0.25)"
206,0.5875956480341655,0.585708045413836,elastic,"(-1, 0.5, 10000, 0.01, 0.5)"
207,0.5845822314721327,0.5826629444007976,elastic,"(-1, 0.5, 10000, 0.01, 1.0)"
208,0.6209965263606458,0.6195299801396243,elastic,"(-1, 1.0, 100, 0.0001, 0.1)"
209,0.5936111493071449,0.5917859866746323,elastic,"(-1, 1.0, 100, 0.0001, 0.25)"
210,0.5845797786263927,0.582660916261108,elastic,"(-1, 1.0, 100, 0.0001, 0.5)"
211,0.5839305292947485,0.5820081282298089,elastic,"(-1, 1.0, 100, 0.0001, 1.0)"
212,0.6209965263606458,0.6195299801396243,elastic,"(-1, 1.0, 100, 0.001, 0.1)"
213,0.5936111493071449,0.5917859866746323,elastic,"(-1, 1.0, 100, 0.001, 0.25)"
214,0.5845806083641639,0.5826613620381078,elastic,"(-1, 1.0, 100, 0.001, 0.5)"
215,0.5839317438650622,0.5820090511331071,elastic,"(-1, 1.0, 100, 0.001, 1.0)"
216,0.6209965263606458,0.6195299801396243,elastic,"(-1, 1.0, 100, 0.01, 0.1)"
217,0.5873966785900738,0.5855071071736355,elastic,"(-1, 1.0, 100, 0.01, 0.25)"
218,0.5845806083641639,0.5826613620381078,elastic,"(-1, 1.0, 100, 0.01, 0.5)"
219,0.5839317438650622,0.5820090511331071,elastic,"(-1, 1.0, 100, 0.01, 1.0)"
220,0.6332128375474865,0.6319610829194375,elastic,"(-1, 1.0, 1000, 0.0001, 0.1)"
221,0.5970621457255192,0.5952743523847221,elastic,"(-1, 1.0, 1000, 0.0001, 0.25)"
222,0.5845797786263927,0.582660916261108,elastic,"(-1, 1.0, 1000, 0.0001, 0.5)"
223,0.5839305292947485,0.5820081282298089,elastic,"(-1, 1.0, 1000, 0.0001, 1.0)"
224,0.6326541354029227,0.6313896455624097,elastic,"(-1, 1.0, 1000, 0.001, 0.1)"
225,0.5960133070483458,0.5942140243564048,elastic,"(-1, 1.0, 1000, 0.001, 0.25)"
226,0.5845806083641639,0.5826613620381078,elastic,"(-1, 1.0, 1000, 0.001, 0.5)"
227,0.5839317438650622,0.5820090511331071,elastic,"(-1, 1.0, 1000, 0.001, 1.0)"
228,0.6301639953400924,0.6288465169681671,elastic,"(-1, 1.0, 1000, 0.01, 0.1)"
229,0.5873966785900738,0.5855071071736355,elastic,"(-1, 1.0, 1000, 0.01, 0.25)"
230,0.5845806083641639,0.5826613620381078,elastic,"(-1, 1.0, 1000, 0.01, 0.5)"
231,0.5839317438650622,0.5820090511331071,elastic,"(-1, 1.0, 1000, 0.01, 1.0)"
232,0.6332128375474865,0.6319610829194375,elastic,"(-1, 1.0, 10000, 0.0001, 0.1)"
233,0.5970621457255192,0.5952743523847221,elastic,"(-1, 1.0, 10000, 0.0001, 0.25)"
234,0.5845797786263927,0.582660916261108,elastic,"(-1, 1.0, 10000, 0.0001, 0.5)"
235,0.5839305292947485,0.5820081282298089,elastic,"(-1, 1.0, 10000, 0.0001, 1.0)"
236,0.6326541354029227,0.6313896455624097,elastic,"(-1, 1.0, 10000, 0.001, 0.1)"
237,0.5960133070483458,0.5942140243564048,elastic,"(-1, 1.0, 10000, 0.001, 0.25)"
238,0.5845806083641639,0.5826613620381078,elastic,"(-1, 1.0, 10000, 0.001, 0.5)"
239,0.5839317438650622,0.5820090511331071,elastic,"(-1, 1.0, 10000, 0.001, 1.0)"
240,0.6301639953400924,0.6288465169681671,elastic,"(-1, 1.0, 10000, 0.01, 0.1)"
241,0.5873966785900738,0.5855071071736355,elastic,"(-1, 1.0, 10000, 0.01, 0.25)"
242,0.5845806083641639,0.5826613620381078,elastic,"(-1, 1.0, 10000, 0.01, 0.5)"
243,0.5839317438650622,0.5820090511331071,elastic,"(-1, 1.0, 10000, 0.01, 1.0)"
244,0.6040817864393415,0.6023746736894418,elastic,"(-1, 2.0, 100, 0.0001, 0.1)"
245,0.5845765315854692,0.5826577379205184,elastic,"(-1, 2.0, 100, 0.0001, 0.25)"
246,0.5839242526066366,0.582001939578902,elastic,"(-1, 2.0, 100, 0.0001, 0.5)"
